Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mikal Bridges,SF,26,PHO,56,56,36.4,6.3,13.6,.463,1.8,4.7,.387,4.5,9.0,.503,.529,2.8,3.1,.897,1.0,3.3,4.3,3.6,1.2,0.8,1.4,2.1,17.2
Mikal Bridges,SF,26,BRK,26,26,35.5,9.2,19.3,.475,2.6,7.0,.376,6.6,12.4,.531,.543,6.2,6.9,.894,0.9,3.8,4.7,2.8,1.0,0.6,1.9,1.7,27.2
Oshae Brissett,SF,24,IND,64,2,16.5,1.9,4.8,.391,0.8,2.4,.316,1.1,2.4,.467,.470,1.6,2.2,.725,0.9,2.3,3.3,0.6,0.5,0.2,0.5,1.2,6.0
Malcolm Brogdon,PG,30,BOS,67,0,26.0,5.3,10.9,.484,2.0,4.4,.444,3.3,6.5,.510,.574,2.4,2.7,.870,0.6,3.6,4.2,3.7,0.7,0.3,1.5,1.6,14.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dillon Brooks,SF,27,MEM,73,73,30.3,5.4,13.6,.396,2.0,6.0,.326,3.4,7.6,.451,.468,1.6,2.1,.779,0.6,2.7,3.3,2.6,0.9,0.2,1.4,3.3,14.3
Bruce Brown,SG,26,DEN,79,30,28.5,4.4,9.2,.482,1.2,3.2,.360,3.3,6.0,.548,.545,1.4,1.9,.764,0.8,3.3,4.1,3.3,1.1,0.6,1.6,2.4,11.4
Greg Brown III,PF,21,POR,16,0,5.8,0.7,1.8,.393,0.1,0.4,.143,0.6,1.3,.476,.411,0.3,0.8,.417,0.1,1.1,1.2,0.2,0.3,0.3,0.4,0.8,1.8
Jaylen Brown,SF,26,BOS,67,67,35.9,10.1,20.6,.491,2.4,7.3,.335,7.7,13.4,.576,.550,3.9,5.1,.765,1.2,5.7,6.9,3.5,1.1,0.4,2.9,2.6,26.6
Kendall Brown,SG,19,IND,6,0,6.7,0.7,1.2,.571,0.0,0.2,.000,0.7,1.0,.667,.571,0.2,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5
Moses Brown,C,23,TOT,36,1,8.2,1.7,2.7,.635,0.0,0.0,,1.7,2.7,.635,.635,0.9,2.0,.458,1.6,2.3,3.9,0.1,0.1,0.4,0.4,1.1,4.3
Moses Brown,C,23,LAC,34,1,8.5,1.8,2.8,.635,0.0,0.0,,1.8,2.8,.635,.635,1.0,2.1,.458,1.7,2.4,4.1,0.1,0.1,0.4,0.4,1.1,4.6
Moses Brown,C,23,BRK,2,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0
Sterling Brown,SG,27,LAL,4,0,6.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.8,1.3,2.0,0.5,0.8,0.0,0.0,1.0,0.0
Troy Brown Jr.,SF,23,LAL,75,45,24.6,2.6,6.1,.430,1.4,3.7,.381,1.2,2.4,.505,.546,0.4,0.5,.892,0.8,3.2,4.1,1.3,0.8,0.2,0.7,1.6,7.1
Jalen Brunson,PG,26,NYK,68,68,35.0,8.6,17.6,.491,2.0,4.7,.416,6.7,12.8,.519,.547,4.8,5.8,.829,0.6,3.0,3.5,6.2,0.9,0.2,2.1,2.2,24.0
Thomas Bryant,C,25,TOT,58,26,18.3,3.9,6.2,.623,0.4,1.0,.429,3.5,5.3,.659,.657,1.6,2.2,.738,1.5,4.2,5.7,0.5,0.3,0.5,0.7,1.7,9.8
Thomas Bryant,C,25,LAL,41,25,21.4,4.8,7.3,.654,0.5,1.2,.440,4.3,6.1,.697,.691,2.0,2.6,.741,1.6,5.2,6.8,0.7,0.3,0.6,0.7,1.9,12.1
Thomas Bryant,C,25,DEN,17,1,10.8,1.6,3.5,.467,0.1,0.4,.333,1.5,3.2,.481,.483,0.8,1.1,.722,1.1,2.0,3.1,0.1,0.1,0.4,0.6,1.4,4.2
Reggie Bullock,SF,31,DAL,78,55,30.3,2.5,6.0,.409,1.9,5.1,.380,0.5,0.9,.562,.569,0.3,0.5,.703,0.4,3.2,3.6,1.4,0.7,0.2,0.5,2.1,7.2
Alec Burks,SG,31,DET,51,8,22.0,3.9,9.0,.436,1.9,4.7,.414,2.0,4.3,.459,.544,3.0,3.7,.814,0.4,2.7,3.1,2.2,0.7,0.2,1.1,1.9,12.8
Deonte Burton,SG,29,SAC,2,0,3.0,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Butler,SG,22,OKC,5,0,6.2,1.0,2.2,.455,0.4,1.0,.400,0.6,1.2,.500,.545,0.0,0.0,,0.0,0.2,0.2,0.8,0.8,0.0,0.4,1.0,2.4
Jimmy Butler,SF,33,MIA,64,64,33.4,7.5,13.9,.539,0.6,1.6,.350,6.9,12.3,.564,.560,7.4,8.7,.850,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9
John Butler,C,20,POR,17,1,10.5,0.8,2.5,.302,0.4,1.7,.207,0.4,0.8,.500,.372,0.2,0.2,1.000,0.2,0.7,0.9,0.5,0.4,0.5,0.1,0.9,2.1
Jamal Cain,SF,23,MIA,17,0,13.1,1.8,3.5,.525,0.2,0.9,.188,1.6,2.5,.651,.551,0.9,1.1,.789,0.9,1.9,2.8,0.6,0.5,0.1,0.2,1.2,4.7
Kentavious Caldwell-Pope,SG,29,DEN,75,75,31.4,3.8,8.3,.460,1.7,4.1,.415,2.1,4.1,.505,.564,1.4,1.7,.823,0.5,2.3,2.8,2.4,1.5,0.4,1.1,1.9,10.7
Facundo Campazzo,PG,31,DAL,8,0,6.5,0.4,1.6,.231,0.4,1.4,.273,0.0,0.3,.000,.346,0.1,0.3,.500,0.0,0.3,0.3,1.1,0.8,0.0,0.4,0.4,1.3
Vlatko Čančar,PF,25,DEN,58,8,14.7,1.8,3.8,.482,0.7,1.9,.378,1.1,1.8,.589,.578,0.6,0.6,.941,0.4,1.7,2.1,1.3,0.3,0.2,0.6,1.4,4.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clint Capela,C,28,ATL,65,63,26.6,5.4,8.2,.653,0.0,0.0,.000,5.4,8.2,.654,.653,1.2,2.0,.603,4.0,7.1,11.0,0.9,0.7,1.2,0.8,2.1,12.0
Vernon Carey Jr.,C,21,WAS,11,0,2.5,0.2,0.7,.250,0.0,0.0,,0.2,0.7,.250,.250,0.2,0.2,1.000,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5
Jevon Carter,PG,27,MIL,80,38,22.4,3.0,7.0,.424,1.8,4.2,.420,1.2,2.8,.429,.549,0.4,0.5,.816,0.4,2.1,2.5,2.4,0.8,0.4,1.0,2.0,8.1
Wendell Carter Jr.,C,23,ORL,56,53,29.9,5.8,10.9,.528,1.4,4.0,.360,4.3,6.9,.624,.593,2.6,3.5,.738,2.1,6.7,8.8,2.3,0.5,0.6,1.9,2.8,15.5
Michael Carter-Williams,PG,31,ORL,3,0,9.3,1.0,2.7,.375,0.0,0.3,.000,1.0,2.3,.429,.375,1.0,1.3,.750,0.3,1.3,1.7,1.3,0.0,0.3,0.3,0.3,3.0
Alex Caruso,PG,28,CHI,66,35,23.6,2.0,4.3,.456,0.8,2.3,.369,1.1,2.0,.552,.553,0.9,1.1,.808,0.6,2.3,3.0,2.9,1.5,0.7,1.2,2.4,5.6
Julian Champagnie,SF,21,TOT,15,1,17.0,3.1,6.5,.469,1.7,4.2,.397,1.4,2.3,.600,.597,0.5,0.7,.800,0.6,2.5,3.1,0.4,0.4,0.3,0.6,1.5,8.3
Julian Champagnie,SF,21,PHI,2,0,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Julian Champagnie,SF,21,SAS,13,1,19.1,3.5,7.4,.479,1.9,4.8,.403,1.6,2.6,.618,.609,0.6,0.8,.800,0.7,2.8,3.5,0.5,0.4,0.4,0.7,1.8,9.6
